(1515189600000,[(5a4fc7717c459f29e79b280d,867), (5a4fc38a7c459f29e79b2800,860), (5a4fd95d7c459f29e79b2846,501)])
(1515193200000,[(5a4fc7717c459f29e79b280d,824), (5a4fc38a7c459f29e79b2800,759), (5a4fd95d7c459f29e79b2846,472)])
(1515196800000,[(5a4fc7717c459f29e79b280d,803), (5a4fc38a7c459f29e79b2800,695), (5a4fd95d7c459f29e79b2846,457)])
(1515200400000,[(5a4fc7717c459f29e79b280d,757), (5a4fc38a7c459f29e79b2800,641), (5a4fd95d7c459f29e79b2846,439)])
(1515204000000,[(5a4fc7717c459f29e79b280d,720), (5a4fc38a7c459f29e79b2800,603), (5a4fd95d7c459f29e79b2846,431)])
(1515207600000,[(5a4fc7717c459f29e79b280d,693), (5a4fc38a7c459f29e79b2800,543), (5a4fd95d7c459f29e79b2846,415)])
(1515211200000,[(5a4fc7717c459f29e79b280d,662), (5a4fc38a7c459f29e79b2800,492), (5a4fd95d7c459f29e79b2846,405)])
(1515214800000,[(5a4fc7717c459f29e79b280d,644), (5a4fc38a7c459f29e79b2800,451), (5a4fd95d7c459f29e79b2846,391)])
(1515218400000,[(5a4fc7717c459f29e79b280d,624), (5a4fc38a7c459f29e79b2800,416), (5a4fd95d7c459f29e79b2846,379)])
(1515222000000,[(5a4fc7717c459f29e79b280d,606), (5a4fc38a7c459f29e79b2800,388), (5a4fd95d7c459f29e79b2846,377)])
(1515225600000,[(5a4fc7717c459f29e79b280d,588), (5a4fd95d7c459f29e79b2846,370), (5a4fc38a7c459f29e79b2800,365)])
(1515229200000,[(5a4fc7717c459f29e79b280d,579), (5a4fd95d7c459f29e79b2846,369), (5a4fc38a7c459f29e79b2800,341)])
(1515232800000,[(5a4fc7717c459f29e79b280d,569), (5a4fd95d7c459f29e79b2846,363), (5a4fc38a7c459f29e79b2800,330)])
(1515236400000,[(5a4fc7717c459f29e79b280d,552), (5a4fd95d7c459f29e79b2846,360), (5a4fc38a7c459f29e79b2800,304)])
(1515240000000,[(5a4fc7717c459f29e79b280d,539), (5a4fd95d7c459f29e79b2846,342), (5a4fc38a7c459f29e79b2800,273)])
(1515243600000,[(5a4fc7717c459f29e79b280d,513), (5a4fd95d7c459f29e79b2846,323), (5a4fc38a7c459f29e79b2800,210)])
(1515247200000,[(5a4fc7717c459f29e79b280d,451), (5a4fd95d7c459f29e79b2846,287), (5a509e447c459f29e79b2955,191)])
(1515250800000,[(5a4fc7717c459f29e79b280d,385), (5a4fd95d7c459f29e79b2846,242), (5a509e447c459f29e79b2955,189)])
(1515254400000,[(5a4fc7717c459f29e79b280d,297), (5a4fd95d7c459f29e79b2846,205), (5a51d35e7c459f29e79b2a9c,194)])
(1515258000000,[(5a51d35e7c459f29e79b2a9c,309), (5a4fc7717c459f29e79b280d,221), (5a4fd95d7c459f29e79b2846,171)])
(1515261600000,[(5a51d35e7c459f29e79b2a9c,420), (5a4fc7717c459f29e79b280d,156), (5a509e447c459f29e79b2955,152)])
(1515265200000,[(5a51d35e7c459f29e79b2a9c,500), (5a509e447c459f29e79b2955,137), (5a4fd95d7c459f29e79b2846,111)])
(1515268800000,[(5a51d35e7c459f29e79b2a9c,555), (5a509e447c459f29e79b2955,112), (5a4fd95d7c459f29e79b2846,94)])
(1515272400000,[(5a51d35e7c459f29e79b2a9c,623), (5a509e447c459f29e79b2955,103), (5a51550a7c459f29e79b2a30,98)])
(1515276000000,[(5a51d35e7c459f29e79b2a9c,683), (5a51550a7c459f29e79b2a30,101), (5a509e447c459f29e79b2955,92)])
(1515279600000,[(5a51d35e7c459f29e79b2a9c,744), (5a51550a7c459f29e79b2a30,107), (5a4fd95d7c459f29e79b2846,91)])
(1515283200000,[(5a51d35e7c459f29e79b2a9c,824), (5a51550a7c459f29e79b2a30,115), (5a4fd95d7c459f29e79b2846,84)])
(1515286800000,[(5a51d35e7c459f29e79b2a9c,841), (5a51550a7c459f29e79b2a30,120), (5a4fd95d7c459f29e79b2846,80)])
(1515290400000,[(5a51d35e7c459f29e79b2a9c,877), (5a51550a7c459f29e79b2a30,122), (5a4f57407c459f29e79b26e9,76)])
(1515294000000,[(5a51d35e7c459f29e79b2a9c,906), (5a51550a7c459f29e79b2a30,128), (5a4f57407c459f29e79b26e9,75)])
(1515297600000,[(5a51d35e7c459f29e79b2a9c,928), (5a51550a7c459f29e79b2a30,131), (5a52cfb37c459f29e79b2bd9,119)])
(1515301200000,[(5a51d35e7c459f29e79b2a9c,955), (5a52cfb37c459f29e79b2bd9,164), (5a51550a7c459f29e79b2a30,132)])
(1515304800000,[(5a51d35e7c459f29e79b2a9c,979), (5a52cfb37c459f29e79b2bd9,194), (5a51550a7c459f29e79b2a30,133)])
(1515308400000,[(5a51d35e7c459f29e79b2a9c,996), (5a52cfb37c459f29e79b2bd9,221), (5a51550a7c459f29e79b2a30,133)])
(1515312000000,[(5a51d35e7c459f29e79b2a9c,1005), (5a52cfb37c459f29e79b2bd9,235), (5a51550a7c459f29e79b2a30,132)])
(1515315600000,[(5a51d35e7c459f29e79b2a9c,1019), (5a52cfb37c459f29e79b2bd9,250), (5a51550a7c459f29e79b2a30,130)])
(1515319200000,[(5a51d35e7c459f29e79b2a9c,1023), (5a52cfb37c459f29e79b2bd9,266), (5a51550a7c459f29e79b2a30,130)])
(1515322800000,[(5a51d35e7c459f29e79b2a9c,1038), (5a52cfb37c459f29e79b2bd9,290), (5a51550a7c459f29e79b2a30,130)])
(1515326400000,[(5a51d35e7c459f29e79b2a9c,1048), (5a52cfb37c459f29e79b2bd9,333), (5a51550a7c459f29e79b2a30,124)])
(1515330000000,[(5a51d35e7c459f29e79b2a9c,1056), (5a52cfb37c459f29e79b2bd9,428), (5a51550a7c459f29e79b2a30,120)])
(1515333600000,[(5a51d35e7c459f29e79b2a9c,1072), (5a52cfb37c459f29e79b2bd9,586), (5a52fd207c459f29e79b2c1c,132)])
(1515337200000,[(5a51d35e7c459f29e79b2a9c,992), (5a52cfb37c459f29e79b2bd9,749), (5a5256887c459f29e79b2b27,243)])
(1515340800000,[(5a51d35e7c459f29e79b2a9c,882), (5a52cfb37c459f29e79b2bd9,879), (5a5256887c459f29e79b2b27,329)])
(1515344400000,[(5a52cfb37c459f29e79b2bd9,1008), (5a51d35e7c459f29e79b2a9c,767), (5a5256887c459f29e79b2b27,384)])
(1515348000000,[(5a52cfb37c459f29e79b2bd9,1116), (5a51d35e7c459f29e79b2a9c,656), (5a5256887c459f29e79b2b27,458)])
(1515351600000,[(5a52cfb37c459f29e79b2bd9,1221), (5a51d35e7c459f29e79b2a9c,576), (5a5256887c459f29e79b2b27,505)])
(1515355200000,[(5a52cfb37c459f29e79b2bd9,1303), (5a5256887c459f29e79b2b27,531), (5a51d35e7c459f29e79b2a9c,521)])
(1515358800000,[(5a52cfb37c459f29e79b2bd9,1329), (5a538abf7c459f29e79b2d48,643), (5a5256887c459f29e79b2b27,560)])
(1515362400000,[(5a52cfb37c459f29e79b2bd9,1361), (5a538abf7c459f29e79b2d48,749), (5a5256887c459f29e79b2b27,585)])
(1515366000000,[(5a52cfb37c459f29e79b2bd9,1397), (5a538abf7c459f29e79b2d48,852), (5a5256887c459f29e79b2b27,610)])
(1515369600000,[(5a52cfb37c459f29e79b2bd9,1443), (5a538abf7c459f29e79b2d48,983), (5a53cf087c459f29e79b2e0f,680)])
(1515373200000,[(5a52cfb37c459f29e79b2bd9,1478), (5a538abf7c459f29e79b2d48,1105), (5a53cf087c459f29e79b2e0f,826)])
(1515376800000,[(5a52cfb37c459f29e79b2bd9,1484), (5a538abf7c459f29e79b2d48,1205), (5a53cf087c459f29e79b2e0f,939)])
(1515380400000,[(5a52cfb37c459f29e79b2bd9,1431), (5a538abf7c459f29e79b2d48,1284), (5a53cf087c459f29e79b2e0f,957)])
(1515384000000,[(5a52cfb37c459f29e79b2bd9,1366), (5a538abf7c459f29e79b2d48,1329), (5a53cf087c459f29e79b2e0f,957)])
(1515387600000,[(5a538abf7c459f29e79b2d48,1381), (5a52cfb37c459f29e79b2bd9,1321), (5a53cf087c459f29e79b2e0f,957)])
(1515391200000,[(5a538abf7c459f29e79b2d48,1407), (5a52cfb37c459f29e79b2bd9,1291), (5a53cf087c459f29e79b2e0f,957)])
(1515394800000,[(5a538abf7c459f29e79b2d48,1433), (5a52cfb37c459f29e79b2bd9,1264), (5a53cf087c459f29e79b2e0f,957)])
(1515398400000,[(5a538abf7c459f29e79b2d48,1445), (5a52cfb37c459f29e79b2bd9,1250), (5a53cf087c459f29e79b2e0f,957)])
