(1515373200000,[(5a51d35e7c459f29e79b2a9c,36), (5a4e76567c459f29e79b21bb,6), (5a4f4cc77c459f29e79b26bd,3)])
(1515376800000,[(5a52cfb37c459f29e79b2bd9,54), (5a51d35e7c459f29e79b2a9c,29), (5a52c0537c459f29e79b2bc0,8)])
(1515380400000,[(5a52cfb37c459f29e79b2bd9,65), (5a51d35e7c459f29e79b2a9c,22), (5a4fbff77c459f29e79b27eb,5)])
(1515384000000,[(5a52cfb37c459f29e79b2bd9,45), (5a51d35e7c459f29e79b2a9c,27), (5a52c0537c459f29e79b2bc0,10)])
(1515387600000,[(5a52cfb37c459f29e79b2bd9,30), (5a51d35e7c459f29e79b2a9c,24), (5a52c0537c459f29e79b2bc0,3)])
(1515391200000,[(5a52cfb37c459f29e79b2bd9,27), (5a51d35e7c459f29e79b2a9c,17), (5a52fd207c459f29e79b2c1c,10)])
(1515394800000,[(5a52cfb37c459f29e79b2bd9,14), (5a51d35e7c459f29e79b2a9c,9), (5a52fd207c459f29e79b2c1c,5)])
(1515398400000,[(5a52cfb37c459f29e79b2bd9,15), (5a51d35e7c459f29e79b2a9c,14), (5a52c0537c459f29e79b2bc0,4)])
(1515402000000,[(5a52cfb37c459f29e79b2bd9,16), (5a52fd207c459f29e79b2c1c,6), (5a51d35e7c459f29e79b2a9c,4)])
(1515405600000,[(5a52cfb37c459f29e79b2bd9,24), (5a51d35e7c459f29e79b2a9c,15), (5a52fd207c459f29e79b2c1c,10)])
(1515409200000,[(5a52cfb37c459f29e79b2bd9,43), (5a52fd207c459f29e79b2c1c,18), (5a51d35e7c459f29e79b2a9c,10)])
(1515412800000,[(5a52cfb37c459f29e79b2bd9,95), (5a53482d7c459f29e79b2c8a,41), (5a52fd207c459f29e79b2c1c,28)])
(1515416400000,[(5a52cfb37c459f29e79b2bd9,158), (5a5256887c459f29e79b2b27,105), (5a52fd207c459f29e79b2c1c,52)])
(1515420000000,[(5a52cfb37c459f29e79b2bd9,163), (5a5256887c459f29e79b2b27,115), (5a52fd207c459f29e79b2c1c,45)])
(1515423600000,[(5a52cfb37c459f29e79b2bd9,130), (5a5256887c459f29e79b2b27,86), (5a53482d7c459f29e79b2c8a,63)])
(1515427200000,[(5a52cfb37c459f29e79b2bd9,129), (5a53482d7c459f29e79b2c8a,60), (5a5256887c459f29e79b2b27,55)])
(1515430800000,[(5a52cfb37c459f29e79b2bd9,108), (5a538abf7c459f29e79b2d48,105), (5a5256887c459f29e79b2b27,74)])
(1515434400000,[(5a538abf7c459f29e79b2d48,175), (5a52cfb37c459f29e79b2bd9,105), (5a53482d7c459f29e79b2c8a,54)])
(1515438000000,[(5a538abf7c459f29e79b2d48,175), (5a52cfb37c459f29e79b2bd9,82), (5a53482d7c459f29e79b2c8a,71)])
(1515441600000,[(5a538abf7c459f29e79b2d48,167), (5a53482d7c459f29e79b2c8a,31), (5a5256887c459f29e79b2b27,29)])
(1515445200000,[(5a53cf087c459f29e79b2e0f,233), (5a538abf7c459f29e79b2d48,106), (5a53c8587c459f29e79b2df5,82)])
(1515448800000,[(5a53cf087c459f29e79b2e0f,242), (5a538abf7c459f29e79b2d48,103), (5a53c8587c459f29e79b2df5,67)])
(1515452400000,[(5a53cf087c459f29e79b2e0f,198), (5a538abf7c459f29e79b2d48,131), (5a53c8587c459f29e79b2df5,62)])
(1515456000000,[(5a53cf087c459f29e79b2e0f,146), (5a538abf7c459f29e79b2d48,122), (5a534bcc7c459f29e79b2c94,42)])
(1515459600000,[(5a53cf087c459f29e79b2e0f,113), (5a538abf7c459f29e79b2d48,100), (5a5404ee7c459f29e79b2e89,57)])
(1515463200000,[(5a538abf7c459f29e79b2d48,79), (5a540ae57c459f29e79b2e94,59), (5a5404ee7c459f29e79b2e89,46)])
(1515466800000,[(5a5404ee7c459f29e79b2e89,54), (5a540ae57c459f29e79b2e94,49), (5a538abf7c459f29e79b2d48,45)])
(1515470400000,[(5a538abf7c459f29e79b2d48,52), (5a540ae57c459f29e79b2e94,35), (5a5404ee7c459f29e79b2e89,31)])
(1515474000000,[(5a5404ee7c459f29e79b2e89,30), (5a538abf7c459f29e79b2d48,26), (5a53ed327c459f29e79b2e59,25)])
(1515477600000,[(5a538abf7c459f29e79b2d48,26), (5a5404ee7c459f29e79b2e89,24), (5a540ae57c459f29e79b2e94,21)])
(1515481200000,[(5a53ed327c459f29e79b2e59,14), (5a538abf7c459f29e79b2d48,12), (5a5404ee7c459f29e79b2e89,9)])
(1515484800000,[(5a5404ee7c459f29e79b2e89,21), (5a53ed327c459f29e79b2e59,20), (5a538abf7c459f29e79b2d48,12)])
(1515488400000,[(5a5404ee7c459f29e79b2e89,17), (5a53ed327c459f29e79b2e59,11), (5a538abf7c459f29e79b2d48,10)])
